年份,院校名称,专业组代码,专业组名称,专业列表,投档分数,投档排位
2024,复旦大学,10101,复旦大学(01),"经济学类, 金融学",580,2684
2024,复旦大学,10102,复旦大学(02),"人文科学试验班, 英语, 新闻传播学类, 社会科学试验班, 法学(卓越法律人才基地), 法学(涉外法治拔尖人才班)",580,2684
2024,复旦大学,10103,复旦大学(03),"理科试验班(相辉学堂相辉计划), 工科试验班(相辉学堂香农计划)",580,2684
2024,复旦大学,10104,复旦大学(04),"经济管理试验班, 数学类, 自然科学试验班, 工科试验班(光子计划院士班), 工科试验班(智慧医药与芯片领军人才班), 工科试验班(新工科拔尖班), 工科试验班(新工科计算机班), 工科试验班(新工科微电子班), 工科试验班(新工科电子信息班), 工科试验班(新工科大数据班), 计算机科学与技术, 技术科学试验班",580,2684
2024,上海交通大学,10201,上海交大(01),"人工智能(拔尖英才试点班), 人工智能(卓越人才试点班), 电子信息类(IEEE试点班), 机械类(钱学森工程科学试点班), 电子信息类(中外合作办学)(交大密西根学院), 金融学, 经济管理试验班, 理科试验班类",580,2684
2024,同济大学,10301,同济大学(01),"工科试验班(国家精英班), 经济管理试验班, 工科试验班(城市、建筑与创意设计类), 工科试验班(智能建造与低碳环境类), 工科试验班(智能化造与新能源类), 工科试验班(信息与智能网联类), 理科试验班",580,2684
2024,同济大学,10302,同济大学(02),"人文科学试验班, 法学, 物流管理, 会计学(智能会计)",576,3250
2024,华东师范大学,10401,华东师大(01),"汉语言文学, 汉语国际教育, 英语, 新闻传播学类, 新闻学(与数据科学与大数据技术专业双学士学位), 历史学, 哲学",571,3998
2024,华东师范大学,10402,华东师大(02),"金融学类, 金融学(与统计学专业双学士学位), 工商管理类, 工商管理(智能商业实验班), 公共管理类, 人力资源管理(与应用心理学专业双学士学位), 法学, 法学(与心理学专业双学士学位), 社会学类, 教育学类, 社会学类(定向西藏就业)",569,4317
2024,华东师范大学,10403,华东师大(03),"数学与应用数学, 统计学类, 统计学(与计算机科学与技术专业双学士学位), 物理学, 电子信息工程, 通信工程, 通信工程(与教育技术学专业双学士学位), 微电子科学与工程, 软件工程, 数据科学与大数据技术, 计算机科学与技术",575,3392
